BLDG_ID,ADD_ID,NEIGHBOURHOOD,NOTES,REC_IDS,BLDG_USE,GBA,HAS_SUBBLDGS,BLDG_TYPE,GREEN_STATUS,PLACENAME,PLACENAME2,PLACENAME3,PLACENAME4,ABBREVIATEDPLACENAME,FULLADDRESS,MUNINAME,PROVINCE,POSTALCODE
VANR,AD-19,Academic,,543;544;902;898;548;560;545-2;545-1;556;552;896-1;896-2;896-3;896-4,RES,35552,1,,,Place Vanier Residence  ,Place Vanier Residence  ,Gordon Shrum Commons Block,<Null>,,1935 Lower Mall,Vancouver,BC,V6T 1X1
TFPB,AD-103,Academic,,036;036-1,ACA,772,1,,,Theatre-Film Production Building,Theatre-Film,,,,6358 University Boulevard,Vancouver,BC,V6T 1Z4
AUDX,AD-105,Academic,,863-2;045,ACA,2431,1,,,Auditorium Annexes,Auditorium Annexes,Auditorium Annex Offices A,,,1924 West Mall,Vancouver,BC,V6T 1Z2
THUR,AD-70,Academic,,784;780;781;782;783;781-1;780-1;782-1;783-1;784-1,RES,42208,1,,,Thunderbird Residence,Thunderbird Residence,Thunderbird Commonsblock,,,6335 Thunderbird Crescent,Vancouver,BC,V6T 2G9
SPPA,AD-266,Academic,,770-3;770-1;770-2,RES,6503,0,,,Spirit Park Apartments,Spirit Park Apartments,,,,2715 Osoyoos Crescent,Vancouver,BC,V6T 1X7
BOTR,AD-113,Academic,,079;078;090;077-2;077-1,ADMIN,1767,1,,,UBC Botanical Garden Nursery,Nursery,,,,3929 Wesbrook Mall,Vancouver,BC,V6T 1W5
ICCS,AD-131,Academic,,166;165,ACA,19643,0,,,Institute for Computing Information and Cognitive Systems / Computer Science,ICICS/CS,,<Null>,ICICS,2366 Main Mall,Vancouver,BC,V6T 1Z4
TFS,AD-252,Academic,,666;667;668;668-1,ACA,1578,1,,,Totem Field Studios,Totem Field Studios,,,,2613 West Mall,Vancouver,BC,V6T 1Z4
FNH,AD-189,Academic,,449;449-1,ACA,5738,0,,,Food Nutrition and Health Building,Food Nutrition Health,,<Null>,FNH,2205 East Mall,Vancouver,BC,V6T 1Z4
CCSB,AD-146,Academic,,204;203;202;201;200;155;205;206;207,ADMIN,5206,1,,,Child Care Services,Child Care Services,Child Care Services Building 4,CCS4,,5615 Osoyoos Crescent,Vancouver,BC,V6T 1S1
RESA,AD-100,Academic,,024-5;024-3,ADMIN,943,1,,,Lower Mall Header House,Header,,,LMHH,2331 Lower Mall,Vancouver,BC,V6T 1Z4
GRNC,AD-5,Academic,,415;412;417;419;416;418;413;414,RES,5551,1,,,Green College,Green College,Adminstration Building F,,,6201 Cecil Green Park Road,Vancouver,BC,V6T 1Z1
WOOD,AD-1012,Academic,,475;473,MEDI,10842,0,,,P. A. Woodward Instructional Resources Centre,Woodward IRC,Faculty of Medicine,<Null>,IRC,2194 Health Sciences Mall,Vancouver,BC,V6T 1Z3
CACP,AD-247,Academic,,643;029,ADMIN,1389,1,,,Campus & Community Planning,C&CP,,,C&CP1,2210 West Mall,Vancouver,BC,V6T 1Z4
HSCC,AD-221,Academic,,537;537-1,MEDI,12963,0,,,Detwiller Pavilion,Detwiller,,Detwiller Pavilion,,2255 Wesbrook Mall,Vancouver,BC,V6T 1Z3
HENN,AD-249,Academic,,652;652-1,ACA,11578,0,,,Hennings Building,Hennings,,,,6224 Agricultural Road,Vancouver,BC,V6T 1Z1
PREZ,AD-67,Academic,,728;728-1,ADMIN,970,0,,,Norman MacKenzie House,Norman MacKenzie House,President's Residence,<Null>,<Null>,6565 NW Marine Drive,Vancouver,BC,V6T 1A7
BRCK,AD-121,Academic,,112-1;112;113,ADMIN,11428,1,,,Brock Hall  ,Brock Hall  ,Student Services and Welcome Centre,<Null>,,1874 East Mall,Vancouver,BC,V6T 1Z1
CUNN,AD-241,Academic,,625;624,ACA,4900,0,,,George Cunningham Building ,Cunningham,,,,2146 East Mall,Vancouver,BC,V6T 1Z3
CLEM,AD-40,Hawthorn,new GBA taken from spreadsheet,621,HSGN,6776,0,,REAP Silver,Clement's Green,Clement's Green,,,,6268 Eagles Drive,Vancouver,BC,V6T 0A2
PROM,AD-42,Hawthorn,new GBA taken from spreadsheet,626,HSGN,12170,0,,,Promontory,Promontory,,,,2688 West Mall,Vancouver,BC,V6T 2J8
JOUR,AD-39,Hawthorn,new GBA taken from spreadsheet,619,HSGN,8531,0,,,Journey,Journey,,,,6328 Larkin Drive,Vancouver,BC,V6T 2K2
SUMA,AD-3,Hawthorn,new GBA taken from spreadsheet,154,HSGN,5484,0,,,Sumac House,Sumac House,Faculty Staff Housing Building C,,,6395 Hawthorn Lane,Vancouver,BC,V6T 0C1
WSPT,AD-81,Chancellor,new GBA taken from spreadsheet,841,HSGN,5139,0,,,Westpoint,Westpoint,,,,6005 Walter Gage Road,Vancouver,BC,V6T 0B3
EOSM,AD-178,Academic,,402;403,ACA,10727,1,,,Earth and Ocean Sciences ,EOS,EOS Main,,EOS,6339 Stores Road,Vancouver,BC,V6T 1Z4
POWR,AD-255,Academic,,724;725,ADMIN,2448,1,,,Power House,Power House,,,,2040 West Mall,Vancouver,BC,V6T 1Z2
COPP,AD-214,Academic,,523-1;525-1;526,ACA,9244,0,,,D.H. Copp Building,Copp,,,COPP,2146 Health Sciences Mall,Vancouver,BC,V6T 1Z3
BUCH,AD-123,Academic,,121-2;122-1;121-3;122-1;121-2,ACA,21868,1,,,Buchanan Building,Buchanan,Buchanan A,Faculty of Arts,,1866 Main Mall,Vancouver,BC,V6T 1Z1
ENSF,AD-127,Academic,,138;470;142;139;143;146;141,ADMIN,372,1,,,Environmental Services Facility ,Environmental Services Facility ,,,,6025 Nurseries Road,Vancouver,BC,V6T 1W5
FRWO,AD-171,Academic,,376;376-1,ACA,2896,0,,,Frederic Wood Theatre,Wood Theatre,Freddy Wood,<Null>,,6354 Crescent Road,Vancouver,BC,V6T 1Z2
BTF,AD-308,Academic,,862,REC,1224,0,,,UBC Baseball Rose Indoor Training Centre,Baseball Training Centre,,,,3085 Wesbrook Mall,Vancouver,BC,V6T 1Z4
RUGC,AD-185,Academic,,434,REC,542,0,,LEED Gold,Gerald McGavin UBC Rugby Centre,Rugby Centre,,,,2765 Wesbrook Mall,Vancouver,BC,V6T 1Z3
STAC,AD-186,Academic,,437,REC,161,0,,,UBC Football Academic Centre,Football Centre,,,,6298 Stadium Road,Vancouver,BC,V6T 1Z4
FRAS,AD-21,East Campus,new GBA taken from spreadsheet,553,RES,2617,0,,REAP Silver,Fraser Hall,Fraser Hall,,,,2550 Wesbrook Mall,Vancouver,BC,V6T 1Z3
VIST,AD-23,East Campus,new GBA taken from spreadsheet,555,HSGN,8963,0,,,Vista Point,Vista Point,,,,5828 Thunderbird Boulevard,Vancouver,BC,V6T 0B8
REGE,AD-15,Hampton,new GBA taken from spreadsheet,507,HSGN,11905,0,,,The Regency,The Regency,Hampton Place Lot 8 ,,,5639 Hampton Place,Vancouver,BC,V6T 2H6
AZAL,AD-1,Hawthorn,new GBA taken from spreadsheet,152,HSGN,1313,0,,,Azalea House,Azalea House,Faculty Staff Housing Building A ,,,6388 Hawthorn Lane,Vancouver,BC,V6T 0B9
STJA,AD-10,Hampton,new GBA taken from spreadsheet,503,HSGN,12386,0,,,St. James,St. James,Hampton Place Lot 4,,,5835 Hampton Place,Vancouver,BC,V6T 2G2
STIR,AD-75,Chancellor,new GBA taken from spreadsheet,818,HSGN,4783,0,,REAP Bronze,Stirling House,Stirling House,,,,6080 Iona Drive,Vancouver,BC,V6T 0A4
WYND,AD-13,Hampton,new GBA taken from spreadsheet,506-2,HSGN,4823,0,,,Wyndham Hall,Wyndham Hall,Hampton Place Lot 7-2 ,,,5683 Hampton Place,Vancouver,BC,V6T 2H3
STRA,AD-14,Hampton,new GBA taken from spreadsheet,506-1,HSGN,6848,0,,,The Stratford,The Stratford,Hampton Place Lot 7-1 ,,,5657 Hampton Place,Vancouver,BC,V6T 2H4
CFCM,AD-110,Academic,,057,ACA,10367,0,,,Centre for Comparative Medicine (CCM),CCM,,,,4145 Wesbrook Mall,Vancouver,BC,V6T 1W5
AQUA,AD-149,Academic,,213,REC,8041,0,,LEED Gold,UBC Aquatic Centre,Aquatic Centre,Swimming Pool,,,6080 Student Union Boulevard,Vancouver,BC,V6T 1Z1
ACEN,AD-106,Academic,,046,ACA,4926,0,,,Asian Centre,Asian Centre,,,,1871 West Mall,Vancouver,BC,V6T 1Z2
ACOM,AD-91,Academic,,011,ADMIN,836,0,,,Acadia Community Centre,Acadia Park Residence,,Acadia Community Centre,,2707 Tennis Crescent,Vancouver,BC,V6T 2E5
LADH,AD-250,Academic,,654,ACA,653,0,,,Abdul Ladha Science Student Centre,Ladha,,,,2055 East Mall,Vancouver,BC,V6T 1Z1
AERL,AD-162,Academic,,316,ACA,5150,0,,,Aquatic Ecosystems Research Laboratory (AERL),AERL,,,AERL,2202 Main Mall,Vancouver,BC,V6T 1Z4
CEME,AD-155,Academic,,306,ACA,8773,0,,,Civil and Mechanical Engineering Building,CEME,,,CEME,6250 Applied Science Lane,Vancouver,BC,V6T 1Z4
GASG,AD-176,Academic,,394,ACA,203,0,,,Gas Gun Facility,Gas Gun,,Gas Gun,,6301 Stadium Road,Vancouver,BC,V6T 1Z4
KENN,AD-256,Academic,,732,ACA,8742,0,,,Douglas Kenny Building,Kenny,Psychology,<Null>,,2136 West Mall,Vancouver,BC,V6T 1Z4
CHBE,AD-152,Academic,,300,ACA,13182,0,,,Chemical & Biological Engineering Building,ChemBio,,<Null>,CHBE,2360 East Mall,Vancouver,BC,V6T 1Z3
MCLD,AD-159,Academic,,312,ACA,7282,0,,,MacLeod Building,MacLeod,Hector MacLeod Building,,,2356 Main Mall,Vancouver,BC,V6T 1Z4
AUDI,AD-104,Academic,RENEW,044,ACA,2634,0,,,Old Auditorium,Old Aud,,,,6344 Memorial Road,Vancouver,BC,V6T 1Z2
BERW,AD-288,Academic,,858,ACA,1598,0,,,Berwick Memorial Centre,Berwick,,,,2765 Osoyoos Crescent,Vancouver,BC,V6T 1X7
ESB,AD-150,Academic,,225,ACA,15910,0,,LEED Gold,Earth Sciences Building,Earth Sciences,Science Dean office,,ESB,2207 Main Mall,Vancouver,BC,V6T 1Z4
CHAN,AD-124,Academic,,130,ACA,8214,0,,,Chan Centre for the Performing Arts,Chan Centre,,,,6265 Crescent Road,Vancouver,BC,V6T 1Z1
LIUG,AD-206,Academic,,496,ACA,1713,0,,,Liu Institute for Global Issues,Liu Institute,,,,6476 NW Marine Drive,Vancouver,BC,V6T 1Z2
MATX,AD-212,Academic,,519,ACA,1481,0,,,Mathematics Annex,Math Annex,,,,1986 Mathematics Road,Vancouver,BC,V6T 1Z2
PARR,AD-218,Academic,,528,PARK,23185,0,,,Rose Garden Parkade,Rose Garden Parkade,,,,6278 NW Marine Drive,Vancouver,BC,V6T 1Z1
BRDF,AD-94,Academic,,019,ADMIN,2200,0,,LEED Gold,Bioenergy Research and Demonstration Facility (BRDF),Bioenergy Research,,<Null>,BRDF,2337 Lower Mall,Vancouver,BC,V6T 1Z4
PNCE,AD-303,Academic,,903,ACA/RES,10177,1,,LEED Gold,Ponderosa Commons East,Audain Art Centre,Spruce House,,,6398 University Boulevard,Vancouver,BC,V6T 1Z4
PNCW,AD-84,Academic,,904,RES,17402,1,,LEED Gold,Ponderosa Commons West,Ponderosa Commons,Maple/Arbutus House,<Null>,,6488 University Boulevard,Vancouver,BC,V6T 1Z4
SRES,AD-261,Academic,,767,ACA,321,0,,,Staging Environmental Research Centre,SERC,,,SERC,6045 Nurseries Road,Vancouver,BC,V6T 1W5
MCDN,AD-135,Academic,,198,ACA,7209,0,,,JB Macdonald Building,Macdonald,Dentistry Building,,,2199 Wesbrook Mall,Vancouver,BC,V6T 1Z3
PARN,AD-272,Academic,,792,PARK,27294,0,,,North Parkade,North Parkade,,,,6115 Student Union Boulevard,Vancouver,BC,V6T 1Z1
DASB,AD-136,Academic,,199,ADMIN/MEDI,12209,0,,,David Strangway Building,Strangway,,,,5950 University Boulevard,Vancouver,BC,V6T 1Z3
KIDS,AD-92,Academic,,013,ADMIN,475,0,,,Kids Club,Kids Club,,,,2855 Acadia Road,Vancouver,BC,V6T 1S1
NRCI,AD-234,Academic,GBA from RRS,591,RSCH,6598,0,,,NRC Institute for Fuel Cell Innovation,NRC,,,NRC Institute,4250 Wesbrook Mall,Vancouver,BC,V6T 1W5
DMP,AD-130,Academic,,164,ACA,1488,0,,,Hugh Dempster Pavilion,Dempster,,,,6245 Agronomy Road,Vancouver,BC,V6T 1Z4
BARN,AD-108,Academic,,051,ADMIN,304,0,,,The Barn,Barn,,<Null>,,2323 Main Mall,Vancouver,BC,V6T 1Z4
OFRH,AD-173,Academic,,380,ACA,378,0,,,Old Fire Hall,Old Fire Hall,,,,2038 West Mall,Vancouver,BC,V6T 1Z2
GEOG,AD-177,Academic,,401,ACA,5497,0,,,Geography Building,Geography,,,,1984 West Mall,Vancouver,BC,V6T 1Z2
HEBB,AD-251,Academic,,656,ACA,5957,0,,,Hebb Building,Hebb,,,,2045 East Mall,Vancouver,BC,V6T 1Z1
PHRM,AD-217,Academic,,527,ACA,29695,0,,LEED Gold,Pharmaceutical Sciences Building,Pharmacy,,,,2405 Wesbrook Mall,Vancouver,BC,V6T 1Z3
FERC,AD-170,Academic,,373,RSCH,9527,0,,,Feric,<Null>,<Null>,<Null>,<Null>,2601 East Mall,Vancouver,BC,V6T 1Z4
SCWH,AD-245,Academic,,638,ADMIN,2583,0,,,South Campus Warehouse,SC Warehouse,,,,6116 Nurseries Road,Vancouver,BC,V6T 1W5
SWNG,AD-302,Academic,,901,ADMIN,5094,0,,,West Mall Swing Space Building,Swing Space,,,,2175 West Mall,Vancouver,BC,V6T 1Z4
LSC,AD-219,Academic,GBA from OSIS,529,MEDI,52177,0,,LEED Gold,Life Sciences Centre,Life Sciences ,,<Null>,,2350 Health Sciences Mall,Vancouver,BC,V6T 1Z3
ACU,AD-197,Academic,,463,MEDI,40372,0,,,Koerner Pavilion,Koerner,Hospital,Urgent Care,,2211 Wesbrook Mall,Vancouver,BC,V6T 1Z3
AYOH,AD-316,Academic,,538,RSCH,160,0,,,,,,,,,,,
WDPL,AD-174,Academic,,385,ACA,283,0,,,Wood Drying Laboratory,Wood Lab,,,,2324 West Mall,Vancouver,BC,V6T 1Z4
DRIX,AD-194,Academic,,458,ADMIN,5008,0,,,Donald Rix Building,Donald Rix,,,,2389 Health Sciences Mall,Vancouver,BC,V6T 1Z3
PARH,AD-199,Academic,,467,PARK,31481,0,,,Health Sciences Parkade,Health Sciences Parkade,,,,2250 Health Sciences Mall,Vancouver,BC,V6T 1Z3
MCML,AD-175,Academic,,386,ACA,14342,0,,,HR MacMillan Building,MacMillan,Faculty of Land and Food Systems,<Null>,,2357 Main Mall,Vancouver,BC,V6T 1Z4
BUTO,AD-122,Academic,,120,ACA,9863,0,,,Buchanan Tower,Buchanan Tower,,,,1873 East Mall,Vancouver,BC,V6T 1Z1
RESP,AD-231,Academic,,585,ACA,41,0,,,UBC Research Ponds,Research Ponds,,,,4069 Wesbrook Mall,Vancouver,BC,V6T 1W5
ALUM,AD-274,Academic,,797,ADMIN,3730,0,,LEED Gold,Robert H. Lee Alumni Centre,Alumni Centre,,,ALUMNI,6163 University Boulevard,Vancouver,BC,V6T 1Z1
MGYM,AD-182,Academic,,428,REC,8945,0,,,War Memorial Gymnasium,War Memorial,Gym,,,6081 University Boulevard,Vancouver,BC,V6T 1Z1
PNCN,AD-87,Academic,,905,ACA/RES,26516,1,,LEED Gold,Ponderosa Commons North,Ponderosa Commons,Cedar/Oak House,<Null>,,2075 West Mall,Vancouver,BC,V6T 1Z2
ACAH,AD-191,Academic,,450-2;450-3;450-1,RES,2855,0,,,Acadia House,Acadia House,,,,2710 Acadia Road,Vancouver,BC,V6T 1R9
TENN,AD-184,Academic,,432;433,REC,10661,1,,,UBC Tennis Centre,Tennis Bubble,,<Null>,,6160 Thunderbird Boulevard,Vancouver,BC,V6T 1Z3
SAND,AD-7,Hampton,new GBA taken from spreadsheet,500;500-1;500-2;500-3;500-4;500-5;500-6;500-7;500-8;500-9;500-10;500-11;500-12;500-13,HSGN,10588,0,,,Sandringham,Sandringham,Hampton Place Lot 1,,,5650 Hampton Place,Vancouver,BC,V6T 2G5
BOTG,AD-120,Academic,,094;091;097;076;082;100;098;099;088,ACA,1645,1,,,UBC Botanical Garden,Botanical Garden,Admission and Shop in the Garden ,UBC Botanical Garden and Centre for Plant Research,,6804 SW Marine Drive,Vancouver,BC,V6T 1Z4
MSUB,AD-270,Academic,,789-1;789,ADMIN,345,0,,,Main Substation,Substation,,,,2446 Health Sciences Mall,Vancouver,BC,V6T 1Z3
UCLL,AD-166,Academic,,344;345;344-1,ADMIN,3978,0,,,Leon and Thea Koerner University Centre,University Centre,,<Null>,<Null>,6331 Crescent Road,Vancouver,BC,V6T 1Z2
ANSO,AD-107,Academic,,048;876-1;876-2;880,ACA,6220,0,,,Anthropology and Sociology Building,ANSOC,,<Null>,ANSOC,6303 NW Marine Drive,Vancouver,BC,V6T 1Z1
SOMS,AD-498,Hawthorn,new GBA taken from spreadsheet,622;622-1;622-2;622-3;622-4;622-5;622-6;622-7;622-8;622-9,HSGN,7892,0,,,Somerset,Somerset,,,,2616 West Mall,Vancouver,BC,V6T 2K6
STJC,AD-278,Academic,,822-3;822-1;822-2,RES,17651,0,,,St. John's College,St. John's College,Saint John's,,,2111 Lower Mall,Vancouver,BC,V6T 1Z4
FRDM,AD-215,Academic,,525-2;523-2,MEDI,6073,0,,,Friedman Building,Friedman,,,,2177 Wesbrook Mall,Vancouver,BC,V6T 1Z3
LSK,AD-157,Academic,,308;308-1,ACA,10194,0,,,The Leonard S. Klinck Building,Klinck,,<Null>,,6356 Agricultural Road,Vancouver,BC,V6T 1Z2
ACAP,AD-90,Academic,,002-1;010-04;009-19;010-09;010-02;009-06;009-02;009-09;009-21;009-23;009-25;009-24;010-10;010-08;010-07;010-06;010-05;010-03;010-01;009-26;009-22;009-20;009-18;009-17;009-16;009-15;009-14;009-13;009-12;009-11;009-10;009-08;009-07;009-05;009-04;009-03;009-01;014-1;014-3;014-2,RES,35468,1,,,Acadia Park Residence,Acadia Park Residence,,Student Family Housing,,2663 Tennis Cres,Vancouver,BC,V6T 2C1
MEDC,AD-216,Academic,,525-3;523-3,MEDI,4017,0,,,Medical Sciences Block C,Medical Sciences C,,,,2176 Health Sciences Mall,Vancouver,BC,V6T 1Z3
WESB,AD-291,Academic,,864;867,MEDI,10664,0,,,Wesbrook Building,Wesbrook Building,,,,6174 University Boulevard,Vancouver,BC,V6T 1Z3
FARM,AD-112,Academic,,670;389;071-2;071-1;387;075,ACA,774,1,,,UBC Farm Centre,UBC Farm Centre,,,,3461 Ross Drive,Vancouver,BC,V6T 1W5
ANGU,AD-98,Academic,,023;026;023-1,ACA,22458,0,,,Henry Angus Building,Henry Angus,Sauder School of Business,,Sauder,2053 Main Mall,Vancouver,BC,V6T 1Z2
CHEM,AD-125,Academic,,140;136;148;144;132,ACA,26438,1,,,Chemistry Building,Chemistry,Chemistry Block D Centre Wing,,Chem,2036 Main Mall,Vancouver,BC,V6T 1Z1
OSBO,AD-183,Academic,,430;431,ACA,6177,1,,,Robert F. Osborne Centre,Osborne Centre,Osborne Gym,Unit 1,Osborne,6108 Thunderbird Boulevard,Vancouver,BC,V6T 1Z3
BRIM,AD-95,Academic,,020-1;020,ACA,13656,1,,,The Brimacombe Building,Brimacombe,,,,2355 East Mall,Vancouver,BC,V6T 1Z4
MINL,AD-134,Academic,,184;184-1,ACA,2889,0,,,Coal and Mineral Processing Lab,Coal Lab,Keevil Institute of Mining Engineering,<Null>,,2332 West Mall,Vancouver,BC,V6T 1Z4
