SUBBLDG_ID,BLDG_ID,ADD_ID,NAME,NOTES,CLASS_CODE,REC_IDS,BLDG_USE,GBA,BLDG_TYPE,GREEN_STATUS,PLACENAME,PLACENAME2,PLACENAME3,PLACENAME4,ABBREVIATEDPLACENAME,BUILDING_SHORTCODE,FULLADDRESS,MUNINAME,PROVINCE,POSTALCODE
MUSM03,MUSM,AD-1036,Museum of Anthropology,,MUSM,570;570-1;436;440,ARTS,11469,Section,,,,,,,,,,,
MUSM02,HAID,AD-1036,Mortuary House,,,440,,36,Section,,,,,,,,,,,
MUSM01,HAID,AD-1036,Haida House,,,436,,143,Section,,,,,,,,,,,
AUDX02,AUDX,AD-105,Auditorium Annex A,,AUDX,045,,1739,Section,,Auditorium Annex A,A,Auditorium Annexes,A,,,1924 West Mall,Vancouver,BC,V6T 1Z2
AUDX01,AUDX,AD-105,Auditorium Annex B,,AUDX,863-2,,692,Section,,Auditorium Annex B,B,Auditorium Annexes,B,,,1924 West Mall,Vancouver,BC,V6T 1Z2
GAGE01,GAGE,AD-297,Gage - Apartments,,,874,,8046,Lowrise,,Walter Gage Apartments,Apartments,Walter Gage Residence,Apartments,,,5959 Student Union Boulevard,Vancouver,BC,V6T 1K2
GAGE03,GAGE,AD-297,Gage - Residence,,,869-1,,5155,Lowrise,,Walter Gage Commonsblock,Commonsblock,Walter Gage Residence,Commonsblock,,,5959 Student Union Boulevard,Vancouver,BC,V6T 1K2
GAGE06,GAGE,AD-1013,Gage - West Coast Suites,,,872-2,,3597,Lowrise,,Walter Gage Court,Court,Walter Gage Residence,,,,5961 Student Union Boulevard,Vancouver,BC,V6T 1K2
GRAT01,GRAT,AD-48,Granite Terrace,,,687,,15336,Lowrise,REAP Gold,Save-On-Foods ,Save-On-Foods ,Granite Terrace,Save-On-Foods ,,,5945 Berton Avenue,Vancouver,BC,V6S 0B3
GRNC07,GRNC,AD-5,Green College A North,,,413,,744,Lowrise,,Green College Building A - North,A - North,Green College,A,,,6201 Cecil Green Park Road,Vancouver,BC,V6T 1Z1
GRNC03,GRNC,AD-5,Green College B,,,416,,1181,Lowrise,,Green College Building B - East,B - East,Green College,B,,,6201 Cecil Green Park Road,Vancouver,BC,V6T 1Z1
GRNC04,GRNC,AD-5,Green College C,,,419,,302,Lowrise,,Green College Principal's Residence  ,Principal's Residence  ,Green College,Principal's Residence (C) ,,,6201 Cecil Green Park Road,Vancouver,BC,V6T 1Z1
GRNC05,GRNC,AD-5,Green College D,,GRHS,412,,1577,Lowrise,,Green College Building D,D,Green College,D,,,6201 Cecil Green Park Road,Vancouver,BC,V6T 1Z1
GRNC09,GRNC,AD-5,Green College D - Graham,,GRHS,412,,1577,Lowrise,,Green College Graham House,Graham,Green College,D,,,6201 Cecil Green Park Road,Vancouver,BC,V6T 1Z1
GRNC06,GRNC,AD-5,Green College E,,,417,,237,Lowrise,,Green College Building E,E,Green College,E,,,6201 Cecil Green Park Road,Vancouver,BC,V6T 1Z1
ENSF05,ENSF,AD-127,Incinerator,,,470,,104,Section,,Incinerator,Incinerator,Environmental Services Facility,,,,6025 Nurseries Road,Vancouver,BC,V6T 1W5
KOER02,KOER,AD-209,Koerner Library,,,,,,Section,,,,,,,,,,,
GRNC02,GRNC,AD-5,Green College A South,,,415,,1273,Lowrise,,Green College South,A - South,Green College,,,,6201 Cecil Green Park Road,Vancouver,BC,V6T 1Z1
KOER01,KOER,AD-209,Koerner Library - Sedgewick,,,,,,Section,,,,,,,,,,,
MARN04,MARN,AD-172,Marine - 4,,,377-4,,14081,Highrise,,Marine Drive Building 4,4,Marine Drive Residence ,4,,,2205 Lower Mall,Vancouver,BC,V6T 1Z4
MARN05,MARN,AD-172,Marine - 5,,,377-5,,12280,Highrise,,Marine Drive Building 5,5,Marine Drive Residence ,5,,,2205 Lower Mall,Vancouver,BC,V6T 1Z4
MARN01,MARN,AD-172,Marine - Simon Lee,,,377-1,,12338,Highrise,,Simon K.Y. Lee HKU-UBC House,Simon K.Y. Lee HKU-UBC,Marine Drive Residence ,1,,,2205 Lower Mall,Vancouver,BC,V6T 1Z4
MARN02,MARN,AD-172,Marine - 2,,,377-2,,7596,Lowrise,,Marine Drive Building 2,2,Marine Drive Residence ,2,,,2205 Lower Mall,Vancouver,BC,V6T 1Z4
MARN06,MARN,AD-172,Marine - 6,,,377-6,,11503,Lowrise,,SHHS Office,SHHS Office,Marine Drive Residence ,6,,,2205 Lower Mall,Vancouver,BC,V6T 1Z4
MARN03,MARN,AD-172,Marine - Commons Block,,,377-3,,1526,Lowrise,,Marine Drive Commonsblock,Commonsblock,Marine Drive Residence ,3,,,2205 Lower Mall,Vancouver,BC,V6T 1Z4
